State,Date,New Deaths,7-Day Moving Avg(covid deaths),Current Hospitalized COVID-19 Patients,Historic Deaths
United States,Apr  3 2022,33,572,N/A,0
United States,Apr  2 2022,104,576,10425.14,0
United States,Apr  1 2022,570,583,11226.43,0
United States,Mar 31 2022,700,608,11671.14,0
United States,Mar 30 2022,1158,637,12015.14,0
United States,Mar 29 2022,688,651,12398.43,0
United States,Mar 28 2022,752,681,12792.71,0
United States,Mar 27 2022,62,680,13212,0
United States,Mar 26 2022,152,688,13656.57,0
United States,Mar 25 2022,747,693,14089.43,0
United States,Mar 24 2022,901,719,14569,0
United States,Mar 23 2022,1261,738,15095.86,0
United States,Mar 22 2022,895,769,15619.71,0
United States,Mar 21 2022,746,843,16178.43,0
United States,Mar 20 2022,117,924,16732.43,0
United States,Mar 19 2022,186,932,17308.71,0
United States,Mar 18 2022,927,982,17929.43,0
United States,Mar 17 2022,1034,1051,18615.57,0
United States,Mar 16 2022,1479,1079,19372.57,0
United States,Mar 15 2022,1412,1143,20190,0
United States,Mar 14 2022,1319,1184,21081.86,-3779
United States,Mar 13 2022,169,1209,22067.57,0
United States,Mar 12 2022,534,1231,23058.57,0
United States,Mar 11 2022,1411,1202,24074.57,0
United States,Mar 10 2022,1230,1219,25188.57,0
United States,Mar  9 2022,1929,1228,26412.43,0
United States,Mar  8 2022,1700,1202,27750.14,0
United States,Mar  7 2022,1490,1238,29136.14,0
United States,Mar  6 2022,327,1335,30600,0
United States,Mar  5 2022,327,1335,32070.86,0
United States,Mar  4 2022,1530,1366,33611.57,0
United States,Mar  3 2022,1296,1479,35243.29,0
United States,Mar  2 2022,1745,1642,36906.57,-238
United States,Mar  1 2022,1953,1762,38773,0
United States,Feb 28 2022,2170,1948,40800.86,0
United States,Feb 27 2022,327,1793,42864,0
United States,Feb 26 2022,545,1824,45017,0
United States,Feb 25 2022,2320,1850,47247.86,0
United States,Feb 24 2022,2439,1844,49642.71,0
United States,Feb 23 2022,2584,1820,52159.57,0
United States,Feb 22 2022,3256,1829,54714.71,0
United States,Feb 21 2022,1080,1795,57411.86,0
United States,Feb 20 2022,549,2057,60295.14,0
United States,Feb 19 2022,728,2077,63273.14,0
United States,Feb 18 2022,2278,2114,66313.43,0
United States,Feb 17 2022,2265,2197,69467.43,0
United States,Feb 16 2022,2653,2238,71596.57,0
United States,Feb 15 2022,3018,2283,75067.14,362
United States,Feb 14 2022,2914,2391,78575.43,0
United States,Feb 13 2022,686,2437,82134.86,0
United States,Feb 12 2022,984,2435,85555.57,0
United States,Feb 11 2022,2860,2467,89015.71,0
United States,Feb 10 2022,2553,2539,92685.71,0
United States,Feb  9 2022,2970,2560,97634.43,0
United States,Feb  8 2022,3770,2590,101414.57,0
United States,Feb  7 2022,3239,2649,105186.14,0
United States,Feb  6 2022,672,2564,108958.71,0
United States,Feb  5 2022,1210,2597,112633.14,0
United States,Feb  4 2022,3359,2639,116154,0
United States,Feb  3 2022,2704,2653,119697.86,0
United States,Feb  2 2022,3176,2673,123141.71,0
United States,Feb  1 2022,4183,2663,126541.86,0
United States,Jan 31 2022,2649,2570,129786.57,71
United States,Jan 30 2022,899,2584,132737.43,0
United States,Jan 29 2022,1507,2589,135448.29,0
United States,Jan 28 2022,3459,2550,138067.86,121
United States,Jan 27 2022,2842,2594,140468.29,0
United States,Jan 26 2022,3102,2596,142631.57,268
United States,Jan 25 2022,3535,2555,144443.86,0
United States,Jan 24 2022,2747,2426,145887.29,0
United States,Jan 23 2022,936,2240,146775.43,0
United States,Jan 22 2022,1232,2228,147518,0
United States,Jan 21 2022,3768,2248,148057.71,79
United States,Jan 20 2022,2854,2112,148325.57,0
United States,Jan 19 2022,2818,2011,148090.71,408
United States,Jan 18 2022,2633,1922,147414,0
United States,Jan 17 2022,1445,2003,146420.57,0
United States,Jan 16 2022,847,2076,145246.29,0
United States,Jan 15 2022,1374,2050,143565.86,0
United States,Jan 14 2022,2819,1976,141427.43,140
United States,Jan 13 2022,2146,1910,138683.71,0
United States,Jan 12 2022,2192,1898,135400.14,282
United States,Jan 11 2022,3198,1823,131511.43,0
United States,Jan 10 2022,1956,1768,127165,0
United States,Jan  9 2022,669,1699,122479.43,0
United States,Jan  8 2022,856,1654,117717.29,0
United States,Jan  7 2022,2353,1592,112630.14,136
United States,Jan  6 2022,2064,1444,107372.29,0
United States,Jan  5 2022,1669,1340,102241.14,165
United States,Jan  4 2022,2810,1327,97263.14,0
United States,Jan  3 2022,1477,1238,92309.29,172
United States,Jan  2 2022,354,1258,87518.29,0
United States,Jan  1 2022,417,1244,82854.57,0
United States,Dec 31 2021,1321,1221,78674.71,0
United States,Dec 30 2021,1334,1227,74776.29,0
United States,Dec 29 2021,1580,1182,71417.57,232
United States,Dec 28 2021,2183,1178,68511.14,0
United States,Dec 27 2021,1617,1189,66315.29,324
United States,Dec 26 2021,262,1154,64766.43,0
United States,Dec 25 2021,256,1156,63836.14,0
United States,Dec 24 2021,1362,1204,63215.86,0
United States,Dec 23 2021,1015,1274,62860.14,2163
United States,Dec 22 2021,1554,1287,62503.14,276
United States,Dec 21 2021,2259,1303,62342.71,15
United States,Dec 20 2021,1376,1253,62225.29,68
United States,Dec 19 2021,276,1238,62123.86,0
United States,Dec 18 2021,591,1242,62006.14,0
United States,Dec 17 2021,1852,1228,61852.86,214
United States,Dec 16 2021,1105,1224,61561.71,1
United States,Dec 15 2021,1666,1232,61180.29,230
United States,Dec 14 2021,1911,1177,60678,0
United States,Dec 13 2021,1269,1168,60063.71,36
United States,Dec 12 2021,303,1166,59267.14,0
United States,Dec 11 2021,493,1162,58416.14,0
United States,Dec 10 2021,1825,1173,57516.86,151
United States,Dec  9 2021,1157,1123,56566.57,0
United States,Dec  8 2021,1285,1135,55599.43,185
United States,Dec  7 2021,1849,1174,54689.86,0
United States,Dec  6 2021,1255,1140,53799.29,47
United States,Dec  5 2021,274,1190,52996.86,0
United States,Dec  4 2021,569,1178,52218.57,0
United States,Dec  3 2021,1473,1128,51440.71,175
United States,Dec  2 2021,1242,997,50565.14,0
United States,Dec  1 2021,1557,886,49667.71,160
United States,Nov 30 2021,1611,838,48507,12
United States,Nov 29 2021,1608,830,47772,58
United States,Nov 28 2021,190,761,47055.57,0
United States,Nov 27 2021,215,759,46377.71,0
United States,Nov 26 2021,558,782,45779.86,0
United States,Nov 25 2021,469,929,45351.29,0
United States,Nov 24 2021,1221,1018,45054.29,147
United States,Nov 23 2021,1552,1024,44948.71,9
United States,Nov 22 2021,1128,1011,44448.86,42
United States,Nov 21 2021,173,998,43941.14,0
United States,Nov 20 2021,373,1004,43441.57,0
United States,Nov 19 2021,1591,1029,42962.43,71
United States,Nov 18 2021,1090,1045,42470.86,2783
United States,Nov 17 2021,1267,1027,41996.71,178
United States,Nov 16 2021,1458,1025,41639.57,0
United States,Nov 15 2021,1036,1044,41315.86,39
United States,Nov 14 2021,216,1060,41051.57,0
United States,Nov 13 2021,551,1065,40862,0
United States,Nov 12 2021,1698,1055,40684.43,43
United States,Nov 11 2021,965,1035,40575.86,11
United States,Nov 10 2021,1252,1070,40513.43,88
United States,Nov  9 2021,1594,1097,40525.43,0
United States,Nov  8 2021,1147,1074,40587.86,24
United States,Nov  7 2021,253,1074,40753.71,0
United States,Nov  6 2021,477,1081,41013.43,0
United States,Nov  5 2021,1563,1077,41352.71,55
United States,Nov  4 2021,1207,1101,41697.86,0
United States,Nov  3 2021,1444,1111,42082.29,-247
United States,Nov  2 2021,1433,1149,42496.43,17
United States,Nov  1 2021,1141,1233,42989.57,47
United States,Oct 31 2021,303,1211,43511.86,0
United States,Oct 30 2021,448,1217,44019.86,0
United States,Oct 29 2021,1737,1248,44536.14,71
United States,Oct 28 2021,1277,1268,45090.14,1
United States,Oct 27 2021,1708,1305,45683,66
United States,Oct 26 2021,2017,1311,46300.57,25
United States,Oct 25 2021,992,1286,46912.43,56
United States,Oct 24 2021,343,1324,47673.71,0
United States,Oct 23 2021,667,1376,48364.57,0
United States,Oct 22 2021,1875,1414,49091.43,77
United States,Oct 21 2021,1534,1429,49926.14,0
United States,Oct 20 2021,1752,1433,50791.71,78
United States,Oct 19 2021,1845,1437,51713.43,1
United States,Oct 18 2021,1257,1451,52684.86,1013
United States,Oct 17 2021,708,1401,53387.86,13
United States,Oct 16 2021,929,1406,54178.57,0
United States,Oct 15 2021,1984,1426,54949,58
United States,Oct 14 2021,1558,1462,55693.14,7
United States,Oct 13 2021,1780,1487,56622.71,59
United States,Oct 12 2021,1944,1517,57546.86,10
United States,Oct 11 2021,909,1533,58465.29,47
United States,Oct 10 2021,740,1578,59558.14,298
United States,Oct  9 2021,1072,1609,60635.14,0
United States,Oct  8 2021,2235,1646,61734.71,40
United States,Oct  7 2021,1733,1634,62924.57,16
United States,Oct  6 2021,1989,1662,63924.29,51
United States,Oct  5 2021,2054,1693,65096.29,0
United States,Oct  4 2021,1227,1704,66370.71,69
United States,Oct  3 2021,956,1739,67702,24
United States,Oct  2 2021,1332,1749,69088.29,0
United States,Oct  1 2021,2150,1767,70494.29,42
United States,Sep 30 2021,1930,1802,71942.14,34
United States,Sep 29 2021,2206,1821,73498.29,50
United States,Sep 28 2021,2129,1834,74930.71,22
United States,Sep 27 2021,1472,1864,76328.57,447
United States,Sep 26 2021,1027,1838,77716.71,27
United States,Sep 25 2021,1455,1861,79051.29,0
United States,Sep 24 2021,2400,1885,80414.14,61
United States,Sep 23 2021,2061,1870,81746.57,24
United States,Sep 22 2021,2299,1873,83029.71,70
United States,Sep 21 2021,2335,1887,84274.14,9
United States,Sep 20 2021,1292,1901,85338.29,52
United States,Sep 19 2021,1188,1901,86550.29,33
United States,Sep 18 2021,1623,1895,87671.86,0
United States,Sep 17 2021,2295,1914,88745.71,37
United States,Sep 16 2021,2082,1908,89864.71,25
United States,Sep 15 2021,2397,1933,90920.29,108
United States,Sep 14 2021,2433,1887,91904.71,5
United States,Sep 13 2021,1293,1749,92891.14,53
United States,Sep 12 2021,1146,1716,93397.43,19
United States,Sep 11 2021,1758,1736,93928,0
United States,Sep 10 2021,2253,1700,94358.71,49
United States,Sep  9 2021,2251,1655,94666.86,6
United States,Sep  8 2021,2075,1623,94958.43,58
United States,Sep  7 2021,1469,1611,95145.29,87
United States,Sep  6 2021,1062,1653,95282.29,15
United States,Sep  5 2021,1286,1674,95472.71,49
United States,Sep  4 2021,1507,1656,95617.57,0
United States,Sep  3 2021,1940,1651,95618.57,28
United States,Sep  2 2021,2022,1633,95542.43,16
United States,Sep  1 2021,1996,1596,95354.57,36
United States,Aug 31 2021,1758,1548,94956.43,50
United States,Aug 30 2021,1211,1534,94705,35
United States,Aug 29 2021,1161,1523,94357.43,33
United States,Aug 28 2021,1474,1484,93809.29,0
United States,Aug 27 2021,1813,1442,93171.43,42
United States,Aug 26 2021,1765,1408,92336.29,31
United States,Aug 25 2021,1654,1350,91358.14,17
United States,Aug 24 2021,1666,1328,90464.57,4
United States,Aug 23 2021,1130,1262,89158.29,77
United States,Aug 22 2021,892,1222,87705.71,13
United States,Aug 21 2021,1179,1192,86217.57,0
United States,Aug 20 2021,1570,1151,84685.57,14
United States,Aug 19 2021,1365,1097,83051.71,29
United States,Aug 18 2021,1496,1044,81295.29,15
United States,Aug 17 2021,1202,917,79349.43,0
United States,Aug 16 2021,853,883,77344.86,8
United States,Aug 15 2021,682,865,75306.43,0
United States,Aug 14 2021,895,844,73141.43,0
United States,Aug 13 2021,1186,808,70863.86,14
United States,Aug 12 2021,998,759,68536.43,0
United States,Aug 11 2021,603,725,66096.43,12
United States,Aug 10 2021,968,745,63583,0
United States,Aug  9 2021,729,708,61044.14,1
United States,Aug  8 2021,529,698,58500.71,0
United States,Aug  7 2021,644,675,56003.86,0
United States,Aug  6 2021,843,640,53618,0
United States,Aug  5 2021,762,613,51143.43,0
United States,Aug  4 2021,745,576,48686.86,0
United States,Aug  3 2021,707,540,46354.71,0
United States,Aug  2 2021,656,511,44070.86,0
United States,Aug  1 2021,372,477,41801,0
United States,Jul 31 2021,399,459,39674.29,0
United States,Jul 30 2021,651,437,37561.29,0
United States,Jul 29 2021,503,403,35550.14,0
United States,Jul 28 2021,493,381,33630.71,0
United States,Jul 27 2021,503,367,31732.29,0
United States,Jul 26 2021,418,341,29959.71,0
United States,Jul 25 2021,249,322,28344.71,0
United States,Jul 24 2021,245,308,26808.29,0
United States,Jul 23 2021,414,298,25419.57,0
United States,Jul 22 2021,345,292,24092.57,0
United States,Jul 21 2021,396,288,22865.43,0
United States,Jul 20 2021,323,280,21738.71,0
United States,Jul 19 2021,287,283,20656.71,0
United States,Jul 18 2021,148,285,19674.57,0
United States,Jul 17 2021,179,281,18803.71,0
United States,Jul 16 2021,368,276,17977.57,0
United States,Jul 15 2021,321,268,17205.71,0
United States,Jul 14 2021,340,260,16523.71,0
United States,Jul 13 2021,338,247,15897.71,0
United States,Jul 12 2021,305,242,15320.29,0
United States,Jul 11 2021,117,214,14766.14,0
United States,Jul 10 2021,145,215,14304.57,0
United States,Jul  9 2021,312,216,13906.57,0
United States,Jul  8 2021,265,215,13591.71,0
United States,Jul  7 2021,253,218,13278.86,0
United States,Jul  6 2021,303,217,13026.14,0
United States,Jul  5 2021,106,213,12837.43,0
United States,Jul  4 2021,123,225,12703.14,0
United States,Jul  3 2021,153,233,12538.29,0
United States,Jul  2 2021,302,245,12420.43,0
United States,Jul  1 2021,289,258,12288.57,0
United States,Jun 30 2021,244,262,12213.86,0
United States,Jun 29 2021,277,276,12166.86,0
United States,Jun 28 2021,191,280,12145.29,0
United States,Jun 27 2021,175,292,12155.71,0
United States,Jun 26 2021,241,298,12225.57,0
United States,Jun 25 2021,394,300,12277.14,10
United States,Jun 24 2021,316,282,12351,0
United States,Jun 23 2021,338,277,12451.29,0
United States,Jun 22 2021,309,277,12577.43,0
United States,Jun 21 2021,275,278,12743.29,0
United States,Jun 20 2021,216,267,12929,0
United States,Jun 19 2021,253,258,13132.43,0
United States,Jun 18 2021,273,252,13328.57,0
United States,Jun 17 2021,278,270,13545.71,0
United States,Jun 16 2021,341,286,13788.29,0
United States,Jun 15 2021,312,290,14036.29,0
United States,Jun 14 2021,202,290,14307.57,0
United States,Jun 13 2021,148,308,14568.14,0
United States,Jun 12 2021,212,347,14856.71,0
United States,Jun 11 2021,398,374,15197.71,0
United States,Jun 10 2021,391,402,15562.86,0
United States,Jun  9 2021,370,414,15958.29,18
United States,Jun  8 2021,315,432,16362.86,0
United States,Jun  7 2021,324,435,16791.43,0
United States,Jun  6 2021,425,422,17206.14,0
United States,Jun  5 2021,396,397,17629.71,0
United States,Jun  4 2021,594,385,18072.43,0
United States,Jun  3 2021,475,401,18551.57,0
United States,Jun  2 2021,500,411,19029.43,0
United States,Jun  1 2021,337,415,19518,0
United States,May 31 2021,228,439,20001.43,0
United States,May 30 2021,255,457,20527.14,0
United States,May 29 2021,311,462,21013.43,0
United States,May 28 2021,707,475,21465.86,0
United States,May 27 2021,544,470,21892.43,0
United States,May 26 2021,525,468,22310.14,0
United States,May 25 2021,506,479,22784,0
United States,May 24 2021,353,493,23205.57,217
United States,May 23 2021,289,496,23659.57,0
United States,May 22 2021,401,518,24101.29,0
United States,May 21 2021,674,523,24590.57,0
United States,May 20 2021,528,526,25146,0
United States,May 19 2021,607,535,25730.14,0
United States,May 18 2021,604,548,26308.29,0
United States,May 17 2021,373,549,26943.29,0
United States,May 16 2021,439,556,27574.14,0
United States,May 15 2021,437,552,28198.86,0
United States,May 14 2021,696,578,28814.86,0
United States,May 13 2021,590,595,29424,0
United States,May 12 2021,702,606,30023,0
United States,May 11 2021,612,609,30611.29,0
United States,May 10 2021,422,621,31209.43,0
United States,May  9 2021,406,628,31769.57,0
United States,May  8 2021,619,642,32292,0
United States,May  7 2021,815,643,32780.86,0
United States,May  6 2021,671,641,33301.71,0
United States,May  5 2021,723,654,33811.14,0
United States,May  4 2021,694,672,34329.43,0
United States,May  3 2021,474,650,34832.43,0
United States,May  2 2021,503,652,35343.43,0
United States,May  1 2021,626,642,35827.57,0
United States,Apr 30 2021,796,647,36310,0
United States,Apr 29 2021,768,655,36765.29,0
United States,Apr 28 2021,847,658,37223.29,0
United States,Apr 27 2021,541,649,37677.14,0
United States,Apr 26 2021,487,677,38105.57,0
United States,Apr 25 2021,433,677,38491.71,0
United States,Apr 24 2021,663,687,38827,0
United States,Apr 23 2021,847,683,39059.29,0
United States,Apr 22 2021,794,679,39180.86,0
United States,Apr 21 2021,779,679,39180.43,0
United States,Apr 20 2021,740,682,39099,0
United States,Apr 19 2021,488,683,38950.71,0
United States,Apr 18 2021,503,692,38763,0
United States,Apr 17 2021,636,687,38558.29,0
United States,Apr 16 2021,813,703,38344.86,0
United States,Apr 15 2021,797,706,38123,0
United States,Apr 14 2021,801,715,37946.43,0
United States,Apr 13 2021,748,719,37699.14,0
United States,Apr 12 2021,546,715,37452.43,0
United States,Apr 11 2021,468,691,37110.57,0
United States,Apr 10 2021,748,698,36759.57,0
United States,Apr  9 2021,839,698,36420.86,26
United States,Apr  8 2021,861,698,36078,0
United States,Apr  7 2021,827,692,35729.71,0
United States,Apr  6 2021,722,711,35411.14,0
United States,Apr  5 2021,375,711,35116.14,0
United States,Apr  4 2021,519,737,34902.14,0
United States,Apr  3 2021,744,751,34730.43,0
United States,Apr  2 2021,844,767,34552.14,0
United States,Apr  1 2021,817,798,34422.43,0
United States,Mar 31 2021,958,822,34246.14,0
United States,Mar 30 2021,723,846,34064.71,0
United States,Mar 29 2021,555,850,33867,0
United States,Mar 28 2021,617,905,33682.86,0
United States,Mar 27 2021,856,896,33515.29,0
United States,Mar 26 2021,1061,877,33407.57,0
United States,Mar 25 2021,989,894,33318.43,0
United States,Mar 24 2021,1122,873,33278.29,0
United States,Mar 23 2021,753,864,33292.29,0
United States,Mar 22 2021,943,879,33353,0
United States,Mar 21 2021,549,845,33469.57,0
United States,Mar 20 2021,722,861,33599,0
United States,Mar 19 2021,1186,897,33823,0
United States,Mar 18 2021,839,911,34020.86,0
United States,Mar 17 2021,1057,981,34246.14,0
United States,Mar 16 2021,863,1056,34487.71,0
United States,Mar 15 2021,699,1078,34836.14,0
United States,Mar 14 2021,662,1095,35256.71,0
